cest;ncm
17.101.00;1701.99.00
17.101.01;1701.1
17.101.01;1701.99.00
17.101.02;1701.1
17.101.02;1701.99.00
17.102.00;1701.91.00
17.102.01;1701.91.00
17.102.02;1701
17.102.02;91
17.103.00;1701.1
17.103.00;1701.99.00
17.103.01;1701.1
17.103.01;1701.99.00
17.103.02;1701.1
17.103.02;1701.99.00
17.104.00;1701.91.00
17.104.01;1701.91.00
17.104.02;1701.91.00
17.105.00;1702
17.105.01;1702
17.105.02;1702
17.106.00;2008.19.00
17.107.00;2101
17.107.00;1
17.107.01;2101
17.107.01;1
17.108.00;2101
17.108.00;2
17.108.01;2101
17.108.01;2
17.109.00;1901.90.90
17.109.00;2101.11.90
17.109.00;2101.12.00
17.110.00;2202.10.00
17.111.00;2202.10.00
17.112.00;2202.99.00
17.113.00;2101.20
17.113.00;2202.99.00
17.114.00;2202.99.00
17.115.00;2202.99.00
19.001.00;3213.10.00
19.002.00;3916.20.00
19.003.00;3916.10.00
19.003.00;3916.90
19.004.00;3926.10.00
19.005.00;4202.1
19.005.00;4202.9
19.005.01;4202.1
19.005.01;4202.9
19.006.00;3926.90.90
19.007.00;4802.20.90
19.007.00;4811.90.90
19.008.00;4802.54.9
19.009.00;4802.54.99
19.009.00;4802.57.99
19.009.00;4816.20.00
19.010.00;4802.56.9
19.010.00;4802.57.9
19.010.00;4802.58.9
19.011.00;3703.10.10
19.011.00;3703.10.29
19.011.00;3703.20.00
19.011.00;3703.90.10
19.011.00;3704.00.00
19.011.00;4802.20.00
19.012.00;4810.13.90
19.013.00;4816.90.10
19.014.00;3920.20.19
19.015.00;4806.20.00
19.016.00;4808.10.00
19.017.00;4810.22.90
19.018.00;4809
19.018.00;4816
19.019.00;4817
19.020.00;4820.10.00
19.021.00;4820.20.00
19.022.00;4820.30.00
19.023.00;4820.40.00
19.024.00;4820.50.00
19.025.00;4820.90.00
19.026.00;4909.00.00
19.027.00;9608.10.00
19.028.00;9608.20.00
19.029.00;9608.30.00
19.030.00;9608
19.031.00;4802
19.031.00;56
19.032.00;5210.59.90
19.033.00;7607.11.90
20.001.00;1211.90.90
20.001.01;1211.90.90
20.002.00;2712.10.00
20.003.00;2814.20.00
20.004.00;2847.00.00
20.005.00;3006.70.00
20.006.00;3301
20.007.00;3303.00.10
20.008.00;3303.00.20
20.009.00;3304.10.00
20.010.00;3304.20.10
20.011.00;3304.20.90
20.012.00;3304.30.00
20.013.00;3304.91.00
20.014.00;3304.99.10
20.015.00;3304.99.90
20.016.00;3304.99.90
20.017.00;3305.10.00
20.018.00;3305.20.00
20.019.00;3305.30.00
20.020.00;3305.90.00
20.021.00;3305.90.00
20.022.00;3305.90.00
20.023.00;3306.10.00
20.024.00;3306.20.00
20.025.00;3306.90.00
20.026.00;3307.10.00
20.027.00;3307.20.10
20.028.00;3307.20.10
20.029.00;3307.20.90
20.030.00;3307.20.90
20.031.00;3307.30.00
20.032.00;3307.90.00
20.032.01;3307.90.00
20.033.00;3307.90.00
20.034.00;3401.11.90
20.035.00;3401.19.00
20.036.00;3401.20.10
20.037.00;3401.30.00
20.038.00;4014.90.10
20.039.00;4014.90.90
20.040.00;3924.90.00
20.040.00;3926.90.40
20.040.00;3926.90.90
20.041.00;4202
20.041.00;1
20.042.00;4818.10.00
20.043.00;4818.10.00
20.044.00;4818.20.00
20.045.00;4818.20.00
20.046.00;4818.30.00
20.047.00;4818.90.90
20.048.00;9619.00.00
20.049.00;9619.00.00
20.050.00;9619.00.00
20.051.00;5601.21.90
20.052.00;5603.92.90
20.053.00;8203.20.90
20.054.00;8214.10.00
20.055.00;8214.20.00
20.056.00;9025.11.10
20.056.00;9025.19.90
20.057.00;9603
20.057.00;2
20.058.00;9603.21.00
20.059.00;9603.30.00
20.060.00;9605.00.00
20.061.00;9615
20.062.00;9616.20.00
20.063.00;3923.30.00
20.063.00;3924.90.00
20.063.00;3924.10.00
20.063.00;4014.90.90
20.063.00;7010.20.00
20.064.00;8212.10.20
20.064.00;8212.20.10
21.001.00;7321.11.00
21.001.00;7321.81.00
21.001.00;7321.90.00
21.002.00;8418.10.00
21.003.00;8418.21.00
21.004.00;8418.29.00
21.005.00;8418.30.00
21.006.00;8418.40.00
21.007.00;8418
21.007.00;5
21.008.00;8418.69.9
21.009.00;8418.69.99
21.010.00;8418.99.00
21.011.00;8421
21.011.00;12
21.012.00;8421.19.90
21.013.00;8418.69.31
21.014.00;8421
21.014.00;9
21.015.00;8422.11.00
21.015.00;8422.90.10
21.016.00;8443
21.016.00;31
21.017.00;8443
21.017.00;32
21.018.00;8443
21.018.00;9
21.019.00;8450.11.00
21.020.00;8450.12.00
21.021.00;8450.19.00
21.022.00;8450
21.022.00;2
21.023.00;8450
21.023.00;9
21.024.00;8451.21.00
21.025.00;8451.29.90
21.026.00;8451
21.026.00;9
21.027.00;8452.10.00
21.028.00;8471
21.028.00;3
21.029.00;8471
21.029.00;4
21.030.00;8471.50.10
21.031.00;8471.60.5
21.032.00;8471.60.90
21.033.00;8471
21.033.00;7
21.034.00;8471
21.034.00;9
21.035.00;8473
21.035.00;3
21.036.00;8504
21.036.00;3
21.037.00;8504.40.10
21.038.00;8504.40.40
21.039.00;8507.80.00
21.040.00;8508
21.041.00;8509
21.042.00;8509.80.10
21.043.00;8516.10.00
21.044.00;8516.40.00
21.045.00;8516.50.00
21.046.00;8516.60.00
21.047.00;8516.60.00
21.048.00;8516.71.00
21.049.00;8516.72.00
21.050.00;8516
21.050.00;79
21.051.00;8516.90.00
21.052.00;8517.11.00
21.053.00;8517.12.03
21.053.01;8517.12.31
21.054.00;8517
21.054.00;12
21.055.00;8517.18.91
21.055.01;8517.18.99
21.056.00;8517.62.5
21.057.00;8518
21.058.00;8519
21.058.00;8522
21.058.00;8527.1
21.059.00;8519.81.90
21.060.00;8521.90.10
21.061.00;8521.90.90
21.062.00;8523.51.10
21.063.00;8523.52.00
21.064.00;8523.52.00
21.065.00;8525.80.2
21.066.00;8527
21.066.00;9
21.067.00;8528.49.29
21.067.00;8528.59.20
21.067.00;8528.69
21.067.01;8528.62.00
21.068.00;8528.52.20
21.069.00;8528
21.069.00;7
21.070.00;8528
