codigo;uf;ex;nacionalfe;importados;estadual;municipal
03061610;SP;;13.45;15.54;7.00;0.00
03061690;SP;;13.45;15.54;7.00;0.00
03061710;SP;;13.45;15.54;7.00;0.00
03061790;SP;;13.45;15.54;7.00;0.00
03061910;SP;;13.45;15.54;7.00;0.00
03061990;SP;;13.45;15.54;7.00;0.00
03062100;SP;;13.45;15.54;7.00;0.00
03062200;SP;;13.45;15.54;7.00;0.00
03062400;SP;;13.45;15.54;7.00;0.00
03062500;SP;;13.45;15.54;7.00;0.00
03062600;SP;;13.45;15.54;7.00;0.00
03062700;SP;;13.45;15.54;7.00;0.00
03062910;SP;;13.45;15.54;7.00;0.00
03062990;SP;;13.45;15.54;7.00;0.00
03071100;SP;;13.45;15.54;0.00;0.00
03071900;SP;;13.45;15.54;0.00;0.00
03072100;SP;;13.45;15.54;7.00;0.00
03072900;SP;;13.45;15.54;7.00;0.00
03073100;SP;;13.45;15.54;0.00;0.00
03073900;SP;;13.45;15.54;0.00;0.00
03074100;SP;;13.45;15.54;7.00;0.00
03074911;SP;;13.45;15.54;7.00;0.00
03074919;SP;;13.45;15.54;7.00;0.00
03074990;SP;;13.45;15.54;7.00;0.00
03075100;SP;;13.45;15.54;7.00;0.00
03075910;SP;;13.45;15.54;7.00;0.00
03075990;SP;;13.45;15.54;7.00;0.00
03076000;SP;;13.45;15.54;7.00;0.00
03077100;SP;;13.45;15.54;7.00;0.00
03077900;SP;;13.45;15.54;0.00;0.00
03078100;SP;;13.45;15.54;7.00;0.00
03078900;SP;;13.45;15.54;0.00;0.00
03079100;SP;;13.45;15.54;7.00;0.00
03079900;SP;;13.45;15.54;0.00;0.00
03081100;SP;;13.45;15.54;7.00;0.00
03081900;SP;;13.45;15.54;0.00;0.00
03082100;SP;;13.45;15.54;7.00;0.00
03082900;SP;;13.45;15.54;0.00;0.00
03083000;SP;;13.45;15.54;0.00;0.00
03089000;SP;;13.45;15.54;0.00;0.00
04011010;SP;;4.20;14.98;0.00;0.00
04011090;SP;;4.20;13.86;0.00;0.00
04012010;SP;;4.20;14.98;0.00;0.00
04012090;SP;;4.20;13.86;0.00;0.00
04014010;SP;;4.20;15.39;0.00;0.00
04014021;SP;;4.20;14.98;0.00;0.00
04014021;SP;01;4.20;14.98;0.00;0.00
04014029;SP;;4.20;13.86;0.00;0.00
